date,discharged_new,discharged_total,cases_new,cases_active,deaths_new,deaths_total,cases_total,positivity_rate_percent,fatality_rate_percent,active_cases_icu
2020-07-01,145,8063,1272,8194,7,253,16514,,,292.0
2020-07-02,271,8334,1502,9406,19,272,18016,,,161.0
2020-07-03,471,8805,1694,10608,21,293,19710,,,201.0
2020-07-04,439,9244,1839,11966,42,335,21549,,,226.0
2020-07-05,603,9847,1925,13251,37,372,23474,,,243.0
2020-07-06,680,10527,1843,14385,30,401,25317,,,279.0
2020-07-07,571,11098,1498,15297,15,416,26815,,,279.0
2020-07-08,778,11876,2062,16527,54,470,28877,,,452.0
2020-07-10,1003,13836,2313,19035,57,543,33418,,,472.0
2020-07-11,880,14716,2798,20883,70,613,36216,,,504.0
2020-07-12,693,15409,2627,22746,71,684,38843,,,532.0
2020-07-13,839,16248,2738,24572,73,757,41581,,,545.0
2020-07-14,1142,17390,2496,25839,87,842,44077,,,540.0
2020-07-15,1076,18466,3176,27853,87,928,47253,,,597.0
2020-07-16,1263,19729,4169,30655,104,1032,51422,,,539.0
2020-07-17,1028,20757,3693,33205,115,1147,55115,,,568.0
2020-07-19,1290,23065,4120,39370,91,1331,63772,,,579.0
2020-07-20,730,23795,3648,42216,72,1403,67420,,,580.0
2020-07-21,1664,25459,3649,44140,61,1464,71069,,,583.0
2020-07-22,1780,27239,4764,47069,55,1519,75833,,,618.0
2020-07-23,2071,29310,5030,49931,97,1616,80863,,,640.0
2020-07-24,2037,31347,5007,52791,110,1724,85870,,,611.0
2020-07-25,2403,33750,5072,55388,72,1796,90942,,,611.0
2020-07-26,2088,35838,5199,58417,82,1878,96141,,,632.0
2020-07-27,1847,37685,5324,61819,75,1953,101465,,,598.0
2020-07-28,2819,40504,5536,64434,102,2055,107001,,,612.0
2020-07-29,2397,42901,5503,67448,92,2147,112504,,,639.0
2020-07-30,3793,46694,6128,69700,83,2230,118632,,,620.0
2020-07-31,3130,49788,5483,72005,84,2314,124115,,,609.0
2020-08-01,3860,53648,5172,73219,98,2412,129287,,,602.0
2020-08-02,4077,57725,5532,74590,84,2496,134819,,,638.0
2020-08-03,4776,62500,4752,74469,98,2594,139571,,,629.0
2020-08-04,6777,69272,6259,73846,110,2704,145830,,,634.0
2020-08-05,5407,74679,5619,73958,100,2804,151449,,,633.0
2020-08-06,5602,80281,6805,75068,93,2897,158254,,,671.0
2020-08-07,3951,84232,6670,77686,101,2998,164924,,,678.0
2020-08-08,5006,89238,7178,79765,93,3091,172102,,,683.0
2020-08-09,4670,93908,5985,80973,107,3198,178087,,,678.0
2020-08-10,5218,99126,4267,79908,114,3312,182354,,,681.0
2020-08-11,6473,105599,6257,79606,86,3398,188611,,,699.0
2020-08-12,7034,112633,7883,80343,113,3510,196494,,,701.0
2020-08-13,8609,121242,6706,78337,103,3613,203200,,,727.0
2020-08-14,6940,128182,7908,79201,104,3717,211108,,,747.0
2020-08-15,6629,134811,8818,81276,114,3831,219926,,,716.0
2020-08-16,6680,141491,7040,81512,124,3947,226966,,,692.0
2020-08-17,7071,148562,6317,80643,115,4062,233283,,,695.0
2020-08-18,8387,156949,7665,79782,139,4201,240948,,,697.0
2020-08-19,7201,164150,8642,81097,126,4327,249590,,,704.0
2020-08-20,6231,170381,7385,82149,102,4429,256975,,,705.0
2020-08-21,6561,176942,7571,83066,93,4522,264546,,,698.0
2020-08-22,7626,184568,7330,82677,93,4615,271876,,,727.0
2020-08-23,4996,189564,5938,83551,68,4683,277814,,,787.0
2020-08-24,8061,197625,5851,81211,130,4810,283665,,,768.0
2020-08-25,6814,204439,8161,82410,148,4958,291826,,,751.0
2020-08-26,7249,211688,8580,83608,133,5091,300406,,,760.0
2020-08-27,7866,219554,9386,84987,141,5232,309792,,,747.0
2020-08-28,7464,227018,8960,86347,136,5368,318752,,,754.0
2020-08-29,8110,235128,8324,86446,115,5483,327076,,,721.0
2020-08-30,7101,242229,8852,88091,106,5589,335928,,,730.0
2020-08-31,7238,249467,6495,87235,113,5702,342423,,,747.0
2020-09-01,5159,254626,9058,90999,135,5837,351481,,,762.0
2020-09-02,6287,260913,9860,94459,113,5950,361341,,,751.0
2020-09-03,7122,268035,8865,96098,104,6054,370206,,,735.0
