date,psychosocial_workers,calls_to_persons_in_surveillance,followup_calls,post_covid_calls,calls_special,calls_to_school_children,calls_to_health_care_workers,calls_received_helpline,calls_total
2020-08-31,1210.0,1037211.0,788246.0,,348860,244700,48939.0,,2503546.0
2020-09-01,1210.0,1042536.0,798358.0,,348860,246758,49259.0,,2521449.0
2020-09-02,1210.0,1053089.0,809261.0,,348860,249805,49563.0,,2546365.0
2020-09-03,1210.0,1063013.0,821852.0,,348860,252382,50078.0,35934.0,2572119.0
2020-09-04,1210.0,1071508.0,836662.0,,348860,255811,50456.0,36077.0,2599374.0
2020-09-05,1210.0,1079755.0,850971.0,,348860,258613,50948.0,36241.0,2625388.0
2020-09-06,1210.0,1088985.0,860306.0,,348860,261547,51235.0,36351.0,2647284.0
2020-09-07,1206.0,1095692.0,877450.0,,348860,264116,51686.0,36470.0,2674274.0
2020-09-08,1206.0,1106403.0,891980.0,,348860,266999,52033.0,36650.0,2702925.0
2020-09-09,1206.0,1117557.0,906291.0,,348860,270366,52409.0,36810.0,2732293.0
2020-09-10,1206.0,1127197.0,920971.0,,348860,273263,52878.0,36967.0,2760136.0
2020-09-11,1278.0,1137915.0,935284.0,,348860,276693,53361.0,37108.0,2789221.0
2020-09-12,1278.0,1141326.0,937506.0,,348860,280060,53793.0,37185.0,2798230.0
2020-09-13,1278.0,1160724.0,961009.0,,348860,282625,54198.0,37475.0,2844891.0
2020-09-14,1278.0,1169401.0,973309.0,,348860,285411,55032.0,37608.0,2869621.0
2020-09-15,1284.0,1180670.0,988477.0,,348860,288384,55265.0,37802.0,2899458.0
2020-09-16,1284.0,1180670.0,988477.0,,348860,288384,55265.0,37802.0,2899458.0
2020-09-17,1285.0,1201971.0,1021655.0,,348860,294412,55858.0,38111.0,2960867.0
2020-09-18,1285.0,1213140.0,1036163.0,,348860,297806,56339.0,38245.0,2990553.0
2020-09-19,1333.0,1222440.0,1051943.0,,348860,300702,56589.0,38377.0,3018911.0
2020-09-20,1333.0,1233611.0,1066375.0,,348860,303563,56808.0,38533.0,3047750.0
2020-09-21,1333.0,1243827.0,1079676.0,,348860,305970,57121.0,38655.0,3074109.0
2020-09-22,1333.0,1254635.0,1093114.0,,348860,309120,57328.0,38819.0,3101876.0
2020-09-23,1323.0,1266039.0,1106947.0,,348860,311920,57651.0,38970.0,3130387.0
2020-09-24,1323.0,1278236.0,1122532.0,,348860,315179,57832.0,39136.0,3161775.0
2020-09-25,1323.0,1289760.0,1138700.0,,348860,318587,58061.0,39306.0,3193274.0
2020-09-26,1327.0,1302013.0,1153974.0,,348860,321641,58288.0,39456.0,3224232.0
2020-09-27,1327.0,1314688.0,1167183.0,,348860,324386,58495.0,39613.0,3253225.0
2020-09-28,1327.0,1326086.0,1180053.0,,348860,326667,58603.0,39766.0,3280035.0
2020-09-29,1327.0,1339721.0,1194746.0,,348860,329590,58949.0,39948.0,3311814.0
2020-09-30,1327.0,1353268.0,1211680.0,,348860,332514,59162.0,40136.0,3345620.0
2020-10-01,1327.0,1367617.0,1225988.0,,348860,335174,59333.0,40316.0,3377288.0
2020-10-02,1327.0,1383317.0,1242412.0,,348860,337788,59507.0,40521.0,3412405.0
2020-10-03,1327.0,1397932.0,1257385.0,,348860,340068,59762.0,40717.0,3444724.0
2020-10-04,1327.0,1413318.0,1270879.0,,348860,342711,59814.0,40885.0,3476467.0
2020-10-05,1327.0,1427171.0,1284546.0,,348860,344829,59927.0,41058.0,3506391.0
2020-10-06,1327.0,1444315.0,1299438.0,,348860,347145,60166.0,41270.0,3541194.0
2020-10-07,1340.0,1458016.0,1316079.0,,348860,350867,60302.0,41480.0,3575604.0
2020-10-08,1346.0,1473950.0,1333635.0,,348860,353318,60451.0,41705.0,3611919.0
2020-10-09,1346.0,1490300.0,1348876.0,,348860,355884,60515.0,41880.0,3646315.0
2020-10-10,1346.0,1503648.0,1364633.0,,348860,359772,60616.0,42074.0,3679603.0
2020-10-11,1346.0,1518626.0,1381175.0,,348860,361842,60711.0,42279.0,3713493.0
2020-10-12,1346.0,1533177.0,1396600.0,,348860,363728,60786.0,42431.0,3745582.0
2020-10-13,1346.0,1550964.0,1413257.0,,348860,366064,61061.0,42651.0,3782857.0
2020-10-14,1346.0,1565104.0,1430314.0,,348860,370074,61120.0,42843.0,3818315.0
2020-10-15,1346.0,1577811.0,1448420.0,,348860,372714,61227.0,43039.0,3852071.0
2020-10-16,1346.0,1591413.0,1464402.0,,348860,375650,61300.0,43209.0,3884834.0
2020-10-17,1346.0,1605466.0,1479888.0,,348860,378464,61389.0,43399.0,3917466.0
2020-10-18,1346.0,1621127.0,1496209.0,,348860,381247,61436.0,43601.0,3952480.0
2020-10-19,1373.0,1634075.0,1512390.0,,348860,383290,61504.0,43775.0,3983894.0
2020-10-20,1373.0,1652425.0,1526461.0,,348860,385985,61531.0,43989.0,4019251.0
2020-10-21,1373.0,1668071.0,1542846.0,,348860,388377,61582.0,44201.0,4053937.0
2020-10-22,1373.0,1682767.0,1558169.0,,348860,390849,61793.0,44423.0,4086861.0
2020-10-23,1373.0,1699163.0,1572986.0,,348860,393314,61926.0,44694.0,4120943.0
2020-10-24,1373.0,1715191.0,1589482.0,,348860,395642,61962.0,44912.0,4156049.0
2020-10-25,1373.0,1730873.0,1604707.0,,348860,397661,62002.0,45061.0,4189164.0
2020-10-26,1373.0,1745321.0,1619249.0,,348860,399498,62035.0,45210.0,4220173.0
2020-10-27,1373.0,1761138.0,1634996.0,,348860,401708,62099.0,45365.0,4254166.0
2020-10-28,1373.0,1776473.0,1650436.0,,348860,404124,62155.0,45553.0,4287601.0
2020-10-29,1373.0,1789825.0,1668554.0,,348860,406453,62341.0,45728.0,4321761.0
2020-10-30,1373.0,1806712.0,1683572.0,,348860,408498,62444.0,45878.0,4355964.0
2020-10-31,1373.0,1820842.0,1701512.0,,348860,410834,62506.0,46043.0,4390597.0
2020-11-01,1370.0,1835636.0,1717207.0,,348860,413026,62537.0,46189.0,4423455.0
2020-11-02,1370.0,1850477.0,1731989.0,,348860,414750,62554.0,46356.0,4454986.0
2020-11-03,1370.0,1867350.0,1747998.0,,348860,417098,62593.0,46550.0,4490449.0
2020-11-04,1370.0,1880583.0,1764363.0,,348860,419174,62614.0,46690.0,4522284.0
2020-11-05,1370.0,1897390.0,1782717.0,,348860,421961,62637.0,46881.0,4560446.0
2020-11-06,1370.0,1913955.0,1801097.0,,348860,424495,62680.0,47089.0,4598176.0
2020-11-07,1370.0,1929158.0,1818990.0,,348860,426790,62706.0,47269.0,4633773.0
2020-11-08,1376.0,1944820.0,1835400.0,,348860,428958,62747.0,47422.0,4668207.0
2020-11-09,1376.0,1958187.0,1852693.0,,348860,430629,62770.0,47546.0,4700685.0
2020-11-10,1376.0,1974613.0,1869402.0,,348860,432833,62829.0,47714.0,4736251.0
2020-11-11,1376.0,1986490.0,1887441.0,,348860,434964,62861.0,47886.0,4768502.0
2020-11-12,1376.0,2002233.0,1906615.0,,348860,436877,62886.0,48052.0,4805523.0
2020-11-13,1376.0,2019091.0,1925541.0,,348860,439183,62959.0,48265.0,4843899.0
2020-11-14,1376.0,2032798.0,1943111.0,,348860,441589,62998.0,48405.0,4877761.0
2020-11-15,1376.0,2048903.0,1959035.0,,348860,443480,63036.0,48594.0,4911908.0
2020-11-16,1376.0,2062967.0,1975746.0,,348860,444971,63056.0,48733.0,4944333.0
2020-11-17,1376.0,2078676.0,1993814.0,,348860,447334,63095.0,48908.0,4980687.0
2020-11-18,1376.0,2091959.0,2011232.0,,348860,449533,63137.0,49064.0,5013785.0
2020-11-19,1376.0,2107089.0,2029243.0,,348860,451542,63177.0,49244.0,5049155.0
2020-11-20,1376.0,2122678.0,2046145.0,,348860,453694,63212.0,49415.0,5084004.0
2020-11-21,1376.0,2137311.0,2062689.0,,348860,456034,63272.0,49585.0,5117751.0
2020-11-22,1376.0,2151892.0,2077516.0,,348860,458197,63302.0,49710.0,5149477.0
2020-11-23,1376.0,2165368.0,2091649.0,,348860,459926,63307.0,49840.0,5178950.0
2020-11-24,1376.0,2182769.0,2107137.0,,348860,462092,63324.0,49999.0,5214181.0
2020-11-25,1376.0,2196714.0,2122657.0,,348860,464206,63341.0,50144.0,5245922.0
2020-11-26,1376.0,2209924.0,2139689.0,,348860,466484,63359.0,50272.0,5278588.0
2020-11-27,1376.0,2225496.0,2154197.0,,348860,468944,63369.0,50408.0,5311274.0
2020-11-28,1376.0,2239650.0,2165599.0,,348860,471365,63381.0,50555.0,5339410.0
2020-11-29,1376.0,2252063.0,2176350.0,,348860,473243,63396.0,50685.0,5364597.0
2020-11-30,1376.0,2266442.0,2188206.0,11910.0,348860,474729,63396.0,50773.0,5404316.0
2020-12-01,1376.0,2282621.0,2199705.0,14974.0,348860,476969,63411.0,50895.0,5437435.0
2020-12-02,1376.0,2295496.0,2210635.0,18094.0,348860,479282,63428.0,51025.0,5466820.0
2020-12-03,1376.0,2310467.0,2222457.0,22110.0,348860,481485,63428.0,51137.0,5499944.0
2020-12-04,1376.0,2323973.0,2223319.0,25319.0,348860,483883,63436.0,51257.0,5530047.0
2020-12-05,1376.0,2339769.0,2243134.0,29109.0,348860,486038,63443.0,51363.0,5561716.0
2020-12-06,1376.0,2353333.0,2254468.0,32245.0,348860,488128,63452.0,51481.0,5591967.0
2020-12-07,1376.0,2364819.0,2264781.0,34681.0,348860,489818,63452.0,51587.0,5617998.0
2020-12-08,1371.0,2380694.0,2275752.0,37631.0,348860,491792,63470.0,51752.0,5649951.0
2020-12-09,1371.0,2393182.0,2286222.0,40858.0,348860,493708,63482.0,51858.0,5678170.0
2020-12-10,1371.0,2406374.0,2297850.0,44278.0,348860,495758,63498.0,51987.0,5708605.0
2020-12-11,1371.0,2418356.0,2309804.0,47838.0,348860,497611,63498.0,52094.0,5738061.0
2020-12-12,1371.0,2431088.0,2320354.0,52046.0,348860,499708,63508.0,52204.0,5767768.0
2020-12-13,1371.0,2442737.0,2331700.0,54986.0,348860,501533,63523.0,52280.0,5795619.0
2020-12-14,1371.0,2454165.0,2342914.0,57606.0,348860,502994,63523.0,52362.0,5822424.0
2020-12-15,1371.0,2466307.0,2352535.0,59962.0,348860,504740,63535.0,52461.0,5848400.0
2020-12-16,1371.0,2477291.0,2362473.0,63600.0,348860,506450,63556.0,52551.0,5874781.0
2020-12-17,1340.0,2489931.0,2371932.0,66617.0,348860,508109,63570.0,52664.0,5901683.0
2020-12-18,1340.0,2503346.0,2382843.0,69393.0,348860,509723,63580.0,52786.0,5930531.0
2020-12-19,1340.0,2516886.0,2392465.0,73120.0,348860,511784,63594.0,52892.0,5959601.0
2020-12-20,1340.0,2530889.0,2402885.0,76207.0,348860,513414,63607.0,53000.0,5988862.0
2020-12-21,1334.0,2544352.0,2412121.0,78566.0,348860,514791,63607.0,53076.0,6015373.0
2020-12-22,1334.0,2557219.0,2422084.0,81644.0,348860,516743,63615.0,53184.0,6043349.0
2020-12-23,1334.0,2569033.0,2432743.0,85161.0,348860,518602,63627.0,53281.0,6071307.0
2020-12-24,1334.0,2581666.0,2443607.0,88943.0,348860,520555,63641.0,53375.0,6100647.0
2020-12-25,1334.0,2593154.0,2454234.0,92277.0,348860,522282,63654.0,53453.0,6127914.0
2020-12-26,1334.0,2599361.0,2460540.0,94440.0,348860,523277,63654.0,53495.0,6143627.0
2020-12-27,1334.0,2612820.0,2470697.0,97460.0,348860,524857,63663.0,53594.0,6171951.0
2020-12-28,1334.0,2622413.0,2480270.0,100645.0,348860,525975,63663.0,53680.0,6195506.0
2020-12-29,1334.0,2634901.0,2489630.0,103455.0,348860,528084,63671.0,53773.0,6222374.0
2020-12-30,1334.0,2644651.0,2498928.0,106245.0,348860,529824,63676.0,53857.0,6246041.0
2020-12-31,1334.0,2656096.0,2508115.0,108924.0,348860,531529,63687.0,53944.0,6271155.0
2021-01-01,1304.0,2667123.0,2516484.0,111458.0,348860,532839,63697.0,54028.0,6294489.0
2021-01-02,1303.0,2676907.0,2522860.0,114391.0,348860,534692,63703.0,54106.0,6315519.0
2021-01-03,1303.0,2686232.0,2526507.0,117102.0,348860,536170,63703.0,54174.0,6332748.0
2021-01-04,1304.0,2694493.0,2529640.0,118925.0,348860,537239,63711.0,54234.0,6347102.0
2021-01-05,1304.0,2703198.0,2532747.0,121404.0,348860,539018,63718.0,54320.0,6363265.0
2021-01-06,1304.0,2711210.0,2535779.0,124705.0,348860,540714,63729.0,54395.0,6379392.0
2021-01-07,1304.0,2720693.0,2539103.0,127234.0,348860,542493,63735.0,54474.0,6396592.0
2021-01-08,1304.0,2730331.0,2542634.0,130237.0,348860,544381,63742.0,54553.0,6414738.0
2021-01-09,1304.0,2738609.0,2545582.0,133428.0,348860,546201,63750.0,54616.0,6431046.0
2021-01-10,1304.0,2747742.0,2548439.0,136182.0,348860,547623,63757.0,54689.0,6447292.0
2021-01-11,1304.0,2755620.0,2551551.0,138140.0,348860,548815,63757.0,54738.0,6461481.0
2021-01-12,1304.0,2764304.0,2554530.0,140994.0,348860,550848,63766.0,54816.0,6478118.0
2021-01-13,1304.0,2772080.0,2557479.0,144192.0,348860,552516,63774.0,54880.0,6493781.0
2021-01-14,1304.0,2780806.0,2560827.0,147143.0,348860,554048,63785.0,54930.0,6510399.0
2021-01-15,1304.0,2790239.0,2564604.0,150291.0,348860,555750,63794.0,55003.0,6528541.0
2021-01-16,1304.0,2799684.0,2567467.0,153347.0,348860,557342,63801.0,55073.0,6545574.0
2021-01-17,1304.0,2806861.0,2571074.0,156244.0,348860,559095,63808.0,55135.0,6561077.0
2021-01-18,1304.0,2815234.0,2573863.0,158934.0,348860,560579,63808.0,55180.0,6576458.0
2021-01-19,1304.0,2824778.0,2577150.0,161415.0,348860,562390,63816.0,55253.0,6593662.0
2021-01-20,1304.0,2832082.0,2580066.0,164802.0,348860,564183,63826.0,55313.0,6609132.0
2021-01-21,1304.0,2841360.0,2582881.0,167744.0,348860,566011,63835.0,55375.0,6626066.0
2021-01-22,1304.0,2850805.0,2585457.0,170894.0,348860,567863,63843.0,55441.0,6643163.0
2021-01-23,1304.0,2859716.0,2588591.0,174446.0,348860,569670,63843.0,55510.0,6660636.0
2021-01-24,1304.0,2867589.0,2590902.0,177722.0,348860,570949,63858.0,55565.0,6675445.0
2021-01-26,1304.0,2884459.0,2595431.0,182762.0,348860,573763,63864.0,55648.0,6704787.0
2021-01-27,1126.0,2891816.0,2598545.0,186379.0,348860,575317,63864.0,55703.0,6720484.0
2021-01-28,1126.0,2899962.0,2601313.0,190237.0,348860,577095,63869.0,55748.0,6737084.0
2021-01-29,1126.0,2910012.0,2604284.0,193002.0,348860,578655,63875.0,55815.0,6754503.0
2021-01-30,1126.0,2918197.0,2607094.0,196454.0,348860,580701,63890.0,55870.0,6771066.0
2021-01-31,1126.0,2926706.0,2609555.0,199180.0,348860,582160,63920.0,55923.0,6786304.0
2021-02-01,1126.0,2933212.0,2612094.0,202199.0,348860,583379,63920.0,55961.0,6799625.0
2021-02-02,1126.0,2942475.0,2614412.0,204648.0,348860,585093,63926.0,56025.0,6815439.0
2021-02-03,1126.0,2950485.0,2616844.0,207416.0,348860,587058,63953.0,56080.0,6830696.0
2021-02-04,1126.0,2958868.0,2619193.0,210176.0,348860,588903,63980.0,56146.0,6846126.0
2021-02-05,1126.0,2968304.0,2621611.0,213294.0,348860,590172,64009.0,56203.0,6862453.0
2021-02-06,1126.0,2977556.0,2624051.0,216393.0,348860,592175,64038.0,56252.0,6879325.0
2021-02-07,1126.0,2984986.0,2626208.0,219293.0,348860,593429,64038.0,56300.0,6893114.0
2021-02-08,1126.0,2990602.0,2628298.0,221579.0,348860,594536,64038.0,56326.0,6904239.0
2021-02-09,1126.0,3000245.0,2630410.0,223910.0,348860,596087,64043.0,56393.0,6919948.0
2021-02-10,1126.0,3007960.0,2632947.0,226329.0,348860,597989,64043.0,56449.0,6934577.0
2021-02-11,1126.0,3016867.0,2635180.0,228846.0,348860,599706,64090.0,56498.0,6950047.0
2021-02-12,1126.0,3026003.0,2637475.0,231362.0,348860,601023,64096.0,56554.0,6965373.0
2021-02-13,1126.0,3054759.0,2639583.0,234128.0,348860,602669,64096.0,56607.0,7000702.0
2021-02-14,1126.0,3062690.0,2641621.0,236649.0,348860,603858,64107.0,56652.0,7014437.0
2021-02-15,1126.0,3048692.0,2643572.0,238752.0,348860,606174,64107.0,56680.0,7006837.0
2021-02-16,1126.0,3056634.0,2645757.0,241129.0,348860,607451,64113.0,56724.0,7020668.0
2021-02-17,1126.0,3063167.0,2647856.0,243446.0,348860,608647,64116.0,56770.0,7032862.0
2021-02-18,1126.0,3070657.0,2649715.0,245649.0,348860,610999,64121.0,56823.0,7046824.0
2021-02-19,1126.0,3079304.0,2651981.0,248419.0,348860,612577,64125.0,56872.0,7062138.0
2021-02-20,1126.0,3087570.0,2653841.0,251051.0,348860,613974,64130.0,56925.0,7076351.0
2021-02-21,1126.0,3096069.0,2655952.0,254343.0,348860,615384,64137.0,56964.0,7091709.0
2021-02-22,1126.0,3102038.0,2657334.0,256326.0,348860,616011,64137.0,56995.0,7101701.0
2021-02-23,1126.0,3110666.0,2658779.0,258319.0,348860,617790,64141.0,57060.0,7115615.0
2021-02-24,1126.0,3118292.0,2660768.0,261520.0,348860,619354,64146.0,57101.0,7130041.0
2021-02-25,1126.0,3126503.0,2662785.0,264131.0,348860,621026,64149.0,57151.0,7144605.0
2021-02-26,1126.0,3133832.0,2664392.0,266806.0,348860,622267,64154.0,57199.0,7157510.0
2021-02-27,1126.0,3141003.0,2666062.0,269010.0,348860,623619,64159.0,57255.0,7169968.0
2021-02-28,1126.0,3141003.0,2666062.0,269010.0,348860,623619,64159.0,57255.0,7169968.0
2021-03-01,1126.0,3153424.0,2669437.0,273669.0,348860,626862,64159.0,57302.0,7193713.0
2021-03-02,1126.0,3153424.0,2669437.0,273669.0,348860,626862,64159.0,57302.0,7193713.0
2021-03-03,1107.0,3167362.0,2672389.0,278200.0,348860,630059,64176.0,57438.0,7218484.0
2021-03-04,1107.0,3174121.0,2673499.0,280978.0,348860,631771,64181.0,57481.0,7230891.0
2021-03-05,1107.0,3181118.0,2674941.0,283235.0,348860,633636,64181.0,57533.0,7243504.0
2021-03-06,1107.0,3181118.0,2674941.0,283235.0,348860,633636,64181.0,57533.0,7243504.0
2021-03-07,1107.0,3181118.0,2674941.0,283235.0,348860,633636,64181.0,57533.0,7243504.0
2021-03-08,1107.0,3197215.0,2678779.0,289451.0,348860,637476,64181.0,57649.0,7273611.0
2021-03-09,1107.0,3203659.0,2680255.0,291286.0,348860,639032,64186.0,57681.0,7284959.0
2021-03-10,1107.0,3209126.0,2681918.0,293981.0,348860,640287,64190.0,57717.0,7296079.0
2021-03-11,1107.0,3215930.0,2683551.0,296463.0,348860,641731,64190.0,57765.0,7308490.0
2021-03-12,1107.0,3222190.0,2685038.0,298503.0,348860,643088,64190.0,57804.0,7319673.0
2021-03-13,1107.0,3229385.0,2686673.0,300701.0,348860,644563,64190.0,57849.0,7332221.0
2021-03-14,1107.0,3229385.0,2686673.0,300701.0,348860,644563,64190.0,57849.0,7332221.0
2021-03-15,1107.0,3229385.0,2686673.0,300701.0,348860,644563,64190.0,57849.0,7332221.0
2021-03-16,1107.0,3229385.0,2686673.0,300701.0,348860,644563,64190.0,57849.0,7332221.0
2021-03-17,1107.0,3253041.0,2691969.0,307954.0,348860,650184,64190.0,57965.0,7374163.0
2021-03-18,1107.0,3253041.0,2691969.0,307954.0,348860,650184,64190.0,57965.0,7374163.0
2021-03-19,1107.0,3259489.0,2693556.0,310028.0,348860,651703,64194.0,57990.0,7385820.0
2021-03-20,1107.0,3266495.0,2695198.0,312111.0,348860,653007,64194.0,58028.0,7397893.0
2021-03-21,1107.0,3266495.0,2695198.0,312111.0,348860,653007,64194.0,58028.0,7397893.0
2021-03-22,1107.0,3272925.0,2696413.0,313974.0,348860,654597,64194.0,58068.0,7409031.0
2021-03-23,1107.0,3288061.0,2699762.0,318307.0,348860,658709,64194.0,58170.0,7436063.0
2021-03-24,1107.0,3288061.0,2699762.0,318307.0,348860,658709,64194.0,58170.0,7436063.0
2021-03-25,1107.0,3298406.0,2702696.0,321507.0,348860,661263,64194.0,58248.0,7455174.0
2021-03-26,1107.0,3298406.0,2702696.0,321507.0,348860,661263,64194.0,58248.0,7455174.0
2021-03-27,1107.0,3304350.0,2704084.0,323100.0,348860,662752,64194.0,58277.0,7465617.0
2021-03-28,1107.0,3309556.0,2705520.0,324508.0,348860,664418,64194.0,58312.0,7475368.0
2021-03-29,1107.0,3318218.0,2707617.0,326888.0,348860,666999,64194.0,58362.0,7491138.0
2021-03-30,1107.0,3324799.0,2709189.0,328222.0,348860,668452,64194.0,58393.0,7502109.0
2021-03-31,1107.0,3330340.0,2710399.0,329475.0,348860,670022,64194.0,58432.0,7511722.0
2021-04-01,1107.0,3335782.0,2711698.0,330803.0,348860,671430,64194.0,58464.0,7521231.0
2021-04-02,1107.0,3335782.0,2711698.0,330803.0,348860,671430,64194.0,58464.0,7521231.0
2021-04-03,1107.0,3335782.0,2711698.0,330803.0,348860,671430,64194.0,58464.0,7521231.0
2021-04-04,1107.0,3347357.0,2714008.0,332975.0,348860,673552,64194.0,58532.0,7539478.0
2021-04-05,1107.0,3357649.0,2715820.0,334771.0,348860,675323,64194.0,58595.0,7555212.0
2021-04-06,1107.0,3357649.0,2715820.0,334771.0,348860,675323,64194.0,58595.0,7555212.0
2021-04-07,1107.0,3357649.0,2715820.0,334771.0,348860,675323,64194.0,58595.0,7555212.0
2021-04-08,1107.0,3377786.0,2720473.0,338395.0,348860,678678,64194.0,58689.0,7587075.0
2021-04-09,1107.0,3377786.0,2720473.0,338395.0,348860,678678,64194.0,58689.0,7587075.0
2021-04-10,1107.0,3385404.0,2721836.0,339555.0,348860,680144,64194.0,58722.0,7598715.0
2021-04-11,1091.0,3394223.0,2723288.0,340764.0,348860,681536,64194.0,58770.0,7611635.0
2021-04-12,1091.0,3394223.0,2723288.0,340764.0,348860,681536,64194.0,58770.0,7611635.0
