date,district_name,cases_total,recoveries_total,deaths_total,deaths_total_other_causes,active_cases
2020-11-01,ahmednagar,56279.0,49885.0,854.0,,5540.0
2020-11-01,akola,8593.0,7682.0,281.0,1.0,629.0
2020-11-01,amaravati,17062.0,15855.0,354.0,,853.0
2020-11-01,aurangabad,42146.0,39725.0,978.0,,1443.0
2020-11-01,beed,13967.0,12444.0,415.0,,1108.0
2020-11-01,bhandara,8965.0,7560.0,196.0,,1209.0
2020-11-01,buldhana,10594.0,8318.0,169.0,,2107.0
2020-11-01,chandrapur,16479.0,11974.0,243.0,,4262.0
2020-11-01,dhule,14224.0,13587.0,340.0,2.0,295.0
2020-11-01,gadchiroli,5447.0,4390.0,37.0,,1020.0
2020-11-01,gondia,9955.0,9009.0,112.0,,834.0
2020-11-01,hingoli,3656.0,3054.0,74.0,,528.0
2020-11-01,jalgaon,53598.0,50149.0,1350.0,,2099.0
2020-11-01,jalna,10479.0,9647.0,285.0,,547.0
2020-11-01,kolhapur,47300.0,44483.0,1610.0,,1207.0
2020-11-01,latur,20768.0,18100.0,610.0,,2058.0
2020-11-01,mumbai,258405.0,229025.0,10318.0,540.0,18522.0
2020-11-01,nagpur,102412.0,94468.0,2739.0,10.0,5195.0
2020-11-01,nanded,19239.0,16768.0,524.0,,1947.0
2020-11-01,nandurbar,6409.0,5771.0,141.0,,497.0
2020-11-01,nashik,94935.0,87819.0,1543.0,,5573.0
2020-11-01,osmanabad,15391.0,13675.0,497.0,,1219.0
2020-11-01,other states/country,2172.0,428.0,147.0,,1597.0
2020-11-01,palghar,43065.0,38976.0,951.0,,3138.0
2020-11-01,parbhani,6670.0,5759.0,238.0,,673.0
2020-11-01,pune,334719.0,302814.0,6703.0,2.0,25200.0
2020-11-01,raigad,59713.0,54296.0,1403.0,2.0,4012.0
2020-11-01,ratnagiri,10010.0,8288.0,376.0,,1346.0
2020-11-01,sangli,46965.0,42556.0,1543.0,,2866.0
2020-11-01,satara,47753.0,41856.0,1411.0,2.0,4484.0
2020-11-01,sindhudurg,5036.0,4283.0,133.0,,620.0
2020-11-01,solapur,44193.0,39456.0,1448.0,1.0,3288.0
2020-11-01,thane,223802.0,200617.0,5345.0,1.0,17839.0
2020-11-01,total,1683775.0,1514079.0,44024.0,563.0,125109.0
2020-11-01,wardha,6648.0,5934.0,204.0,1.0,509.0
2020-11-01,washim,5773.0,5419.0,136.0,1.0,217.0
2020-11-01,yavatmal,10953.0,10009.0,316.0,,628.0
2020-11-02,ahmednagar,56411.0,50689.0,857.0,,4865.0
2020-11-02,akola,8609.0,7701.0,281.0,1.0,626.0
2020-11-02,amaravati,17078.0,15855.0,354.0,,869.0
2020-11-02,aurangabad,42332.0,39852.0,979.0,,1501.0
2020-11-02,beed,14029.0,12521.0,415.0,,1093.0
2020-11-02,bhandara,8993.0,7775.0,196.0,,1022.0
2020-11-02,buldhana,10642.0,8332.0,169.0,,2141.0
2020-11-02,chandrapur,16583.0,12243.0,244.0,,4096.0
2020-11-02,dhule,14228.0,13667.0,340.0,2.0,219.0
2020-11-02,gadchiroli,5525.0,4677.0,45.0,,803.0
2020-11-02,gondia,9983.0,9132.0,112.0,,739.0
2020-11-02,hingoli,3679.0,3077.0,74.0,,528.0
2020-11-02,jalgaon,53639.0,50518.0,1350.0,,1771.0
2020-11-02,jalna,10524.0,9652.0,285.0,,587.0
2020-11-02,kolhapur,47332.0,45063.0,1610.0,,659.0
2020-11-02,latur,20818.0,18298.0,610.0,,1910.0
2020-11-02,mumbai,259111.0,230232.0,10348.0,549.0,17982.0
2020-11-02,nagpur,102576.0,95320.0,2739.0,10.0,4507.0
2020-11-02,nanded,19293.0,16935.0,524.0,,1834.0
2020-11-02,nandurbar,6428.0,5896.0,141.0,,391.0
2020-11-02,nashik,95421.0,87819.0,1544.0,,6058.0
2020-11-02,osmanabad,15420.0,13747.0,499.0,,1174.0
2020-11-02,other states/country,2183.0,428.0,147.0,,1608.0
2020-11-02,palghar,43129.0,39335.0,952.0,,2842.0
2020-11-02,parbhani,6690.0,5811.0,238.0,,641.0
2020-11-02,pune,335094.0,303665.0,6734.0,2.0,24693.0
2020-11-02,raigad,59823.0,54869.0,1405.0,3.0,3546.0
2020-11-02,ratnagiri,10023.0,8398.0,376.0,,1249.0
2020-11-02,sangli,47068.0,42924.0,1552.0,,2592.0
2020-11-02,satara,48004.0,42168.0,1414.0,2.0,4420.0
2020-11-02,sindhudurg,5058.0,4324.0,133.0,,601.0
2020-11-02,solapur,44334.0,40263.0,1453.0,1.0,2617.0
2020-11-02,thane,224300.0,201628.0,5352.0,3.0,17317.0
2020-11-02,total,1687784.0,1524304.0,44128.0,575.0,118777.0
2020-11-02,wardha,6666.0,5968.0,204.0,1.0,493.0
2020-11-02,washim,5783.0,5471.0,136.0,1.0,175.0
2020-11-02,yavatmal,10975.0,10051.0,316.0,,608.0
2020-11-03,ahmednagar,56658.0,50833.0,880.0,,4945.0
2020-11-03,akola,8622.0,7701.0,285.0,1.0,635.0
2020-11-03,amaravati,17102.0,15855.0,351.0,,896.0
2020-11-03,aurangabad,42534.0,40347.0,980.0,,1207.0
2020-11-03,beed,14112.0,12592.0,421.0,,1099.0
2020-11-03,bhandara,9091.0,7858.0,205.0,,1028.0
2020-11-03,buldhana,10682.0,8582.0,174.0,,1926.0
2020-11-03,chandrapur,16718.0,12516.0,253.0,,3949.0
2020-11-03,dhule,14235.0,13667.0,334.0,2.0,232.0
2020-11-03,gadchiroli,5592.0,4732.0,50.0,,810.0
2020-11-03,gondia,10070.0,9222.0,106.0,,742.0
2020-11-03,hingoli,3681.0,3084.0,76.0,,521.0
2020-11-03,jalgaon,53691.0,50709.0,1359.0,,1623.0
2020-11-03,jalna,10566.0,9737.0,294.0,,535.0
2020-11-03,kolhapur,47371.0,45069.0,1610.0,,692.0
2020-11-03,latur,20869.0,18429.0,620.0,,1820.0
