date,comorbidities_government_dme,comorbidities_government_dms,comorbidities_private,comorbidities_other_government_institutions,comorbidities_total,no_comorbidities_government_dme,no_comorbidities_government_dms,no_comorbidities_private,no_comorbidities_other_government_institutions,no_comorbidities_total
2020-07-23,44.0,8.0,19.0,,77.0,3,1,6,,11
2020-07-24,53.0,7.0,21.0,,82.0,4,1,1,,6
2020-07-25,52.0,5.0,22.0,,84.0,3,1,1,,5
2020-07-26,37.0,3.0,34.0,,75.0,8,0,2,,10
2020-07-28,55.0,6.0,22.0,,85.0,2,0,1,,3
2020-07-29,40.0,8.0,27.0,,75.0,3,3,1,,7
2020-07-30,51.0,6.0,30.0,,89.0,5,1,2,,8
2020-07-31,51.0,8.0,28.0,,89.0,7,0,1,,8
2020-08-01,60.0,7.0,21.0,,90.0,8,0,1,,9
2020-08-02,59.0,6.0,22.0,,90.0,6,1,1,,8
2020-08-03,69.0,7.0,23.0,,102.0,6,0,0,,7
2020-08-04,69.0,7.0,22.0,,99.0,6,0,3,,9
2020-08-05,75.0,2.0,26.0,,104.0,5,1,2,,8
2020-08-06,74.0,9.0,21.0,,104.0,5,0,1,,6
2020-08-07,62.0,7.0,41.0,,115.0,4,0,0,,4
2020-08-08,62.0,7.0,35.0,,109.0,6,0,2,,9
2020-08-09,63.0,8.0,31.0,,103.0,12,1,3,,16
2020-08-10,71.0,4.0,30.0,,105.0,3,1,4,,9
2020-08-11,48.0,9.0,45.0,,107.0,6,2,2,,11
2020-08-13,64.0,9.0,36.0,,112.0,5,0,2,,7
2020-08-14,67.0,5.0,30.0,,105.0,6,0,4,,12
2020-08-15,61.0,6.0,41.0,,115.0,9,0,3,,12
2020-08-16,62.0,6.0,37.0,,108.0,14,0,2,,17
2020-08-18,64.0,10.0,31.0,,108.0,10,1,1,,13
2020-08-19,61.0,12.0,32.0,,107.0,5,1,0,,9
2020-08-21,49.0,4.0,35.0,,93.0,6,1,1,,8
2020-08-22,40.0,7.0,22.0,,72.0,5,1,1,,8
2020-08-23,61.0,5.0,21.0,,87.0,10,0,0,,10
2020-08-26,53.0,9.0,41.0,,107.0,7,1,0,,11
2020-08-27,54.0,8.0,30.0,,101.0,6,1,0,,8
2020-08-28,48.0,10.0,32.0,,97.0,2,1,1,,5
2020-08-29,43.0,5.0,27.0,,82.0,3,0,1,,5
2020-08-30,41.0,9.0,35.0,,87.0,5,0,2,,7
2020-08-31,31.0,7.0,34.0,,81.0,6,1,1,,10
2020-09-01,51.0,3.0,33.0,,92.0,2,0,2,,4
2020-09-02,42.0,9.0,40.0,,93.0,1,1,1,,5
2020-09-03,44.0,7.0,30.0,,83.0,3,1,4,,9
2020-09-04,32.0,11.0,27.0,,71.0,6,1,1,,8
2020-09-07,40.0,5.0,34.0,,82.0,4,0,2,,7
2020-09-09,40.0,9.0,20.0,,76.0,1,0,1,,2
2020-09-10,27.0,7.0,22.0,,58.0,4,2,0,,6
2020-09-11,33.0,2.0,36.0,,74.0,3,0,0,,3
2020-09-12,25.0,8.0,33.0,,68.0,2,0,4,,8
2020-09-14,26.0,2.0,18.0,,50.0,1,0,1,,3
2020-09-15,26.0,5.0,27.0,,60.0,7,0,1,,8
